river,site,trial,ffg,count
ELS,2,3,CG/SC,0
ELS,2,3,PI,0
ELS,2,3,PR,4.5
ELS,2,3,SC,0
ELS,2,3,SH,31.503
ELS,2,3,UN,76.508
ELS,3,1,CF,18.001
ELS,3,1,CG,99.009
ELS,3,1,CG/PR,0
ELS,3,1,CG/SC,0
ELS,3,1,PI,0
ELS,3,1,PR,4.5
ELS,3,1,SC,0
ELS,3,1,SH,0
ELS,3,1,UN,4.5
ELS,3,2,CF,9.001
ELS,3,2,CG,238.523
ELS,3,2,CG/PR,0
ELS,3,2,CG/SC,0
ELS,3,2,PI,0
ELS,3,2,PR,0
ELS,3,2,SC,0
ELS,3,2,SH,36.004
ELS,3,2,UN,0
ELS,3,3,CF,9.001
ELS,3,3,CG,531.053
ELS,3,3,CG/PR,0
ELS,3,3,CG/SC,0
ELS,3,3,PI,0
ELS,3,3,PR,9.001
ELS,3,3,SC,0
ELS,3,3,SH,45.004
ELS,3,3,UN,13.501
ELS,4,1,CF,54.005
ELS,4,1,CG,211.521
ELS,4,1,CG/PR,0
ELS,4,1,CG/SC,0
ELS,4,1,PI,0
ELS,4,1,PR,0
ELS,4,1,SC,0
ELS,4,1,SH,0
ELS,4,1,UN,0
ELS,4,2,CF,31.503
ELS,4,2,CG,454.546
ELS,4,2,CG/PR,0
ELS,4,2,CG/SC,0
ELS,4,2,PI,0
ELS,4,2,PR,0
ELS,4,2,SC,0
ELS,4,2,SH,4.5
ELS,4,2,UN,18.002
ELS,4,3,CF,198.019
ELS,4,3,CG,490.549
ELS,4,3,CG/PR,0
ELS,4,3,CG/SC,0
ELS,4,3,PI,0
ELS,4,3,PR,0
ELS,4,3,SC,0
ELS,4,3,SH,13.501
ELS,4,3,UN,4.5
ELS,5,1,CF,688.568
ELS,5,1,CG,292.529
ELS,5,1,CG/PR,0
ELS,5,1,CG/SC,0
ELS,5,1,PI,0
ELS,5,1,PR,9.001
ELS,5,1,SC,4.5
ELS,5,1,SH,0
ELS,5,1,UN,9
ELS,5,2,CF,171.017
ELS,5,2,CG,265.527
ELS,5,2,CG/PR,0
ELS,5,2,CG/SC,0
ELS,5,2,PI,4.5
ELS,5,2,PR,0
ELS,5,2,SC,0
ELS,5,2,SH,0
ELS,5,2,UN,0
ELS,5,3,CF,157.516
ELS,5,3,CG,162.016
ELS,5,3,CG/PR,0
ELS,5,3,CG/SC,0
ELS,5,3,PI,9.001
ELS,5,3,PR,0
ELS,5,3,SC,0
ELS,5,3,SH,0
ELS,5,3,UN,9.001
ELS,6,1,CF,1741.674
ELS,6,1,CG,436.544
ELS,6,1,CG/PR,0
ELS,6,1,CG/SC,0
ELS,6,1,PI,0
ELS,6,1,PR,4.5
ELS,6,1,SC,0
ELS,6,1,SH,0
ELS,6,1,UN,4.5
ELS,6,2,CF,40.504
ELS,6,2,CG,247.525
ELS,6,2,CG/PR,4.5
ELS,6,2,CG/SC,0
ELS,6,2,PI,0
ELS,6,2,PR,9
ELS,6,2,SC,67.507
ELS,6,2,SH,27.003
ELS,6,2,UN,13.501
ELS,6,3,CF,10571.557
ELS,6,3,CG,243.025
ELS,6,3,CG/PR,0
ELS,6,3,CG/SC,0
ELS,6,3,PI,4.5
ELS,6,3,PR,0
ELS,6,3,SC,0
ELS,6,3,SH,0
ELS,6,3,UN,0
ELS,7,1,CF,1026.102
ELS,7,1,CG,76.508
ELS,7,1,CG/PR,0
ELS,7,1,CG/SC,0
ELS,7,1,PI,0
ELS,7,1,PR,0
ELS,7,1,SC,0
ELS,7,1,SH,0
ELS,7,1,UN,0
ELS,7,2,CF,1017.102
ELS,7,2,CG,2340.234
ELS,7,2,CG/PR,0
ELS,7,2,CG/SC,0
ELS,7,2,PI,4.5
ELS,7,2,PR,0
ELS,7,2,SC,4.5
ELS,7,2,SH,0
ELS,7,2,UN,4.5
ELS,7,3,CF,76.508
ELS,7,3,CG,994.599
ELS,7,3,CG/PR,0
ELS,7,3,CG/SC,4.5
ELS,7,3,PI,4.5
ELS,7,3,PR,0
ELS,7,3,SC,0
ELS,7,3,SH,9
ELS,7,3,UN,0
ELS,8,1,CF,1273.627
ELS,8,1,CG,99.01
ELS,8,1,CG/PR,0
ELS,8,1,CG/SC,0
ELS,8,1,PI,0
ELS,8,1,PR,0
ELS,8,1,SC,0
ELS,8,1,SH,4.5
ELS,8,1,UN,31.503
ELS,8,2,CF,450.045
ELS,8,2,CG,589.557
ELS,8,2,CG/PR,0
ELS,8,2,CG/SC,0
ELS,8,2,PI,22.502
ELS,8,2,PR,9
ELS,8,2,SC,0
ELS,8,2,SH,13.501
ELS,8,2,UN,45.005
ELS,8,3,CF,549.055
ELS,8,3,CG,823.582
ELS,8,3,CG/PR,0
ELS,8,3,CG/SC,0
ELS,8,3,PI,18.002
ELS,8,3,PR,4.5
ELS,8,3,SC,0
ELS,8,3,SH,27.002
ELS,8,3,UN,85.508
